W44,1996,Deseret News,,"Ask the Old Farmers' Almanac, 5 January 1996",eng,https://www.deseret.com/1996/12/29/19285517/from-bombay-to-u-s-kipling-lived-in-vermont-for-4-years/,Ask the Old Farmers' Almanac,Agriculture / House Economy,,,"Ask the Old Farmer's Almanac: Do you know the trick for writing on the inside of an egg? - H.T., Saranac Lake, N.Y. Answer: Easy as boiling water. Dissolve an ounce of alum in half a pint of vinegar and use it as ink with a small pointed brush. Outline whatever writing you desire on the shell of an egg and let it dry completely. After it has thoroughly dried on the eggshell, hard boil the egg for about 15 minutes. If you carry out the directions exactly as told, all tracings of the writing will disappear from the eggshell, but when the shell is cracked and the hard-boiled egg is revealed, the writing will be apparent on the white of the egg.","Ask the Old Farmer's Almanac: Do you know the trick for writing on the inside of an egg? - H.T., Saranac Lake, N.Y. Answer: Easy as boiling water. Dissolve an ounce of alum in half a pint of vinegar and use it as ink with a small pointed brush. Outline whatever writing you desire on the shell of an egg and let it dry completely. After it has thoroughly dried on the eggshell, hard boil the egg for about 15 minutes. If you carry out the directions exactly as told, all tracings of the writing will disappear from the eggshell, but when the shell is cracked and the hard-boiled egg is revealed, the writing will be apparent on the white of the egg.",,witnesses_flat
W45,2010,The Calhoun Liberty Journal,,"Ask the Old Farmer's Almanac, 1 September 2010, p. 11",eng,https://chl.stparchive.com/page_image.php?paper=CHL&year=2010&month=9&day=1&page=11&base=CHL09012010p11,Ask the Old Farmer's Almanac,Agriculture / House Economy,,,"Ask the Old Farmer's Almanac: Do you know the trick for writing on the inside of an egg? – W. S., Dublin, Ohio ANSWER: Easy as boiling water. Dissolve an ounce of alum in half a pint of vinegar and use it as ink with a small pointed brush. Outline whatever writing you desire on the shell of an egg and let it dry completely. After it has thoroughly dried on the eggshell, boil the egg for about 15 minutes. If you carry out the directions exactly as told, all tracings of the writing will disappear from the eggshell, but when the shell is cracked and the hard-boiled egg is revealed, the writing will be apparent on the white of the egg.","Ask the Old Farmer's Almanac: Do you know the trick for writing on the inside of an egg? – W. S., Dublin, Ohio ANSWER: Easy as boiling water. Dissolve an ounce of alum in half a pint of vinegar and use it as ink with a small pointed brush. Outline whatever writing you desire on the shell of an egg and let it dry completely. After it has thoroughly dried on the eggshell, boil the egg for about 15 minutes. If you carry out the directions exactly as told, all tracings of the writing will disappear from the eggshell, but when the shell is cracked and the hard-boiled egg is revealed, the writing will be apparent on the white of the egg.",,witnesses_flat
W46,1887,American Agriculturalist,,"American Agriculturalist for the Farm, Garden and Household, Vol 46 No 11, Nov 1887, p.480",eng,https://books.google.de/books/content?id=KQIwAAAAYAAJ&pg=PA480&img=1&zoom=3&hl=en&bul=1&sig=ACfU3U15qJiebEnv7_q6rH7MEVqHin-S-g&w=1902,"American Agriculturalist for the Farm, Garden and Household",Agriculture / House Economy,,,"WRITING ON THE INSIDE OF AN Egg.—For this purpose a peculiar kind of ink is required. It is made of vinegar, alum, and gall-nuts. Write anything you like on the outside of a raw egg, and when it is perfectly dry boil the egg hard in salt water. The writing will then disappear from the shell, but when this is taken off, the writing will be plainly seen on the hard white of the egg itself.","WRITING ON THE INSIDE OF AN Egg.—For this purpose a peculiar kind of ink is required. It is made of vinegar, alum, and gall-nuts. Write anything you like on the outside of a raw egg, and when it is perfectly dry boil the egg hard in salt water. The writing will then disappear from the shell, but when this is taken off, the writing will be plainly seen on the hard white of the egg itself.",,witnesses_flat
W47,1775,Johann Georg Krünitz,,"Oekonomische Encyclopädie, Vol. 6, Berlin: Joachim Pauli, 1775, p.660",deu,https://books.google.de/books/content?id=DscUAAAAQAAJ&pg=PA660&img=1&zoom=3&hl=en&bul=1&sig=ACfU3U2QibKlv-XXKOgsZSzkwrxhbH1VQw&w=1902,Oekonomische Encyclopädie,Encyclopaedia / General Reference,,,"Einen Brief in ein Ei zu schreiben. Man macht eine Tinte von Galläpfeln, Alaun und Essig… \[Note: found in a section on ""Briefe"", Della Porta's 1558 order but closer to 1589 recipe]","Einen Brief in ein Ei zu schreiben. Man macht eine Tinte von Galläpfeln, Alaun und Essig, und schreibt damit auf die weiße Schale vom Ei, lässt es in der Sonne trocknen; und kocht nachher das Ei in Salzwasser, bis es hart wird, so werden alsdann alle Buchstaben auf der Schale verschwunden und hineingedrungen sein, so dass der Andere, um die Schrift lesen zu können, die Schale des Eies nur ablüsen darf. Oder: man überstreicht das ganze Ei mit Wachs, schreibt mit einem Griffel in das Wachs, füllet die Buchstaben mit Essig, darin Galläpfel gelegen, aus, lässt das Ei einen ganzen Tag liegen, und tut hernach das Wachs davon. Derjenige, der den Brief lesen will, muss das Ei hart sieden und abschälen, so wird er die Schrift darinnen finden.",,witnesses_flat
W48,1831,Johann August Friedrich Schmidt,,"Allgemeinfaßliche Lehren und Experimente der Physik... Vol. 2, 1831, p.15",deu,https://www.google.de/books/edition/Allgemeinfa%C3%9Fliche_Lehren_und_Experiment/94bwyvsJLL4C?hl=en&gbpv=1,Allgemeinfaßliche Lehren und Experimente der Physik,Popular Science,,,8. In ein Ei zu schreiben. Man pülvere Galläpfel und Alaun sehr fein und vermische scharfen Weinessig damit… \[before a recipe for invisible ink revealed via sulfur fumes],"8. In ein Ei zu schreiben. Man pülvere Galläpfel und Alaun sehr fein und vermische scharfen Weinessig damit. Mit dieser Tinte schreibe man auf die äußere weiße Schale eines Eies irgend etwas, lasse das Geschriebene trocknen werden und lege alsdann das Ei vier Tage lang in Salzwasser oder scharfen Essig. Nimmt man es hernach heraus, so ist die Schrift äußerlich völlig verschwunden, aber wenn man das Ei nun hart siedet und darauf abschält, so findet man die Schrift auf dem hartgestottenen Weißen des Eies. [W45v2] Dasselbe ist der Fall, wenn man das Ei, sobald die Schrift abgetrocknet ist, in Salzwasser hart siedet.",,witnesses_flat
W49,1810,Neue Jugen-Zeitung,,Neue Jugen-Zeitung. Leipzig. No 105. 1 Sept 1810. Cols. 839-840.,deu,"https://digitale-sammlungen.de/de/view/bsb10687172?page=484,485",Neue Jugen-Zeitung,Popular Science,,,"Einen Brief in ein Ei zu schreiben. Man bereitet eine Tinte von Galläpfeln, Alaune und Essig… Oder; Man bestreicht ein Ei rings herum mit heißem weichem Wachs…","Einen Brief in ein Ei zu schreiben. [W46A] Man bereitet eine Tinte von Galläpfeln, Alaune und Essig, mit welcher man auf die auswendige Schaale eines Eies schreibt. Dieses läßt man in der Sonne trocknen, und kocht alsdann das Ei in Salzwasser so lange, bis es hart wird. Ist dieses geschehen, so werden alle Buchstaben verschwunden und inwendig durchgedrungen seyn. Das Ei übersendet man seinem Freunde, der bei dessen behufsamer Eröffnung den ganzen Brief auf dem Weißen des Eies finden wird; [W46b] Oder; Man bestreicht ein Ei rings herum mit heißem weichem Wachs. Dieses läßt man kalt werden, und schreibt alsdann mit einer Nadel, was man für gut findet. Das so beschriebene Ei legt man in schar[840]fen Essig, worinne Galläpfel anzuweicht worden sind, und läßt es einen ganzen Tag darinne. Das Wachs schabt man herunter, und sendet das Ei an die Behörde. Wird dieses hart gesotten, so findet sich die Schrift ebenfalls auf dem inwendigen Weißen.",,witnesses_flat
W50,1839,"Martius, Johann Nicolaus and Poppe, Johann Heinrich Moritz von",,"Joh. Nik. Martius gesammelte Schriften über natürliche Magie, Vol 1. Stuttgart: Scheible, 1839, p.357 (no. 85)",deu,"https://www.digitale-sammlungen.de/en/view/bsb10132899?page=360,361",Joh. Nik. Martius gesammelte Schriften über natürliche Magie,Natural Magic / Secrets Literature,,85. Eine geheime Schrift auf ein Ei zu schreiben.,Man stößt Alaun und Galläpfel zu einem recht feinen Pulver und gießt auf das vereinigte Pulver scharfen Weinessig...,"85. Eine geheime Schrift auf ein Ei zu schreiben. Man stößt Alaun und Galläpfel zu einem recht feinen Pulver und gießt auf das vereinigte Pulver scharfen Weinessig so, daß es wie eine Dinte wird. Mit diesem Liquor schreibt man auf die äußere Schale des Eies, was man will, und läßt es trocknen werden. Wenn nun diese Schrift trocken geworden ist, so muß das Ei noch in Salzwasser oder guten Essig gelegt werden, in welchem es vier Tage lang bleiben soll. Nach Verlauf dieser Zeit kann man es wieder herausnehmen und abtrocknen lassen; man wird nicht das Geringste von einer Schrift darauf erblicken. Wenn man aber das darauf Geschriebene zum Vorschein bringen und lesen will, so muß man das Ei kochen und die Schalen davon ablößen, worauf die Schrift auf dem harten Weißen des Eies zu lesen seyn wird.",,witnesses_flat
W51,1837,"Fechner, Gustav Theodor",,"Das Hauslexikon : vollständiges Handbuch praktischer Lebenskenntnisse für alle Stände. Vol. 7, Leipzig : Breitkopf und Härtel, 1837, p.333",deu,"https://www.digitale-sammlungen.de/en/view/bsb10401176?page=340,341",Das Hauslexikon,Agriculture / House Economy,,Auf Eier (erhaben) s. Eier S. 691; durch die Schale eines Eies.,"Man schreibt mit einer Tinte aus starkem Essig, Galläpfeln u. Alaun auf die Schale...","Auf Eier (erhaben) s. Eier S. 691; durch die Schale eines Eies. Man schreibt mit einer Tinte aus starkem Essig, Galläpfeln u. Alaun auf die Schale, legt, sobald die S. getrocknet ist (wodurch sie verschwindet) das Ei 4 Tage in Essig oder Salzwasser, läßt es dann in Wasser sieden u. löst die Schale ab, wo man die S. auf dem hartgesottenen Weißen findet.","\[Note -- in article for Schreibe, Schrift; article referred to doesn't mention writing]",witnesses_flat
W52,1556,Girolamo Cardano,,"Les liures de Hierome Cardanus medecin milannois, intitules de la subtilité, & subtiles inuentions... Paris: Ian Foucher, 1556, Book 18, pp. 370-371",fra,https://www.google.de/books/edition/Les_liures_de_Hierome_Cardanus_medecin_m/vBNrLU0tRx0C?hl=en&gbpv=1&dq=oeuf+vinaigre+alun&pg=PA370-IA1&printsec=frontcover,"Les liures de Hierome Cardanus medecin milannois, intitules de la subtilité",Natural Magic / Secrets Literature,,Telles artificieuses subtilitez sont faites en ce genre: comme ceux qui escriuent dedans vn œuf...,"Fai une masse de noix de galle, brisées auec alun & vinaigre...","Telles artificieuses subtilitez sont faites en ce genre: comme ceux qui escriuent dedans vn œuf tout ce qu’ils veulent; pource que l’escaille est penetrable & reçoit les couleurs. [W50a] Fai une masse de noix de galle, brisées auec alun & vinaigre: puis escrit de ceste liqueur ce que tu veux escrire sus l’escaille de l’œuf: & apres qu’il est seché, mets le dedans la saumure: [W50b] ou envelope l’œuf de cire, & en escriuant les lettres d’vn touche, pour faire ouuerture en la cire, & que les lettres demeurent, sus lesquelles la liqueur demeure: [W50ab] fai cuire l’œuf, quand il est sec, iusques à ce qu’il soit dur: puis arrouse-le de fort vinaigre: par ce moyen les lettres penetrent l’escaille, lesquelles tu verras en escusfant quand l’escaille sera ostée. Car le vinaigre amollit l’escaille de l’œuf, en sorte qu’on peut le mettre dedans vn pot bien estroit: & l’eau l’endurcit. Si j’escri la raison de ces deux experiences, ie rendrai premierement la matiere digne d’estre traictee, & descouurirai le chemin pour trouuer les autres experiences de ce genre. Ce que l’escaille de l’œuf est mollifiée par la force & vertu du vinaigre, il auient, pource qu’elle a multitude de pores, & petits pertuis insensibles: car ceste escaille sue & rend humeur: elle boit donc, & attire l’humeur. Le vinaigre est de substance subtile, il penetre donc l’escaille de l’œuf. Et entant que l’escaille de l’œuf est condensée de froid, & qu’elle est de substance subtile, elle sera dissoute de l’humeur. Et l’eau pour la trop grande frigidité esprime ce qui est d’humeur subtil contenu en la substance, & congelée qui est de reste: pourtant l’escaille de l’œuf qui estoit amollie au vinaigre s’endurcit en l’eau. Quand donc tu auras fait vne liqueur de noix de galle & d’alun auec le vinaigre, le vinaigre reçoit la force des noix de galle, & de l’alun: portant par les lettres escrites, le vinaigre penetre dedans l’œuf par les petits pertuis de l’escaille. Au blanc de l’œuf la galle laisse sa couleur jaunastre: mais l’alun empesche que la galle ne soit bruslee: la couleur donc adherera plus fort, & tiendra plus vehementement, quoy que le tout soit seché en la saumure: ainsi la forme des lettres demeurera constante & ferme: puis on verse le tout en fort vinaigre, afin que ce qui a esté en la saumure, soit transferé plus tost de l’escaille au blanc de l’œuf: ou l’œuf est cuit au feu, qu’il attire dedans le reste qui est demeuré en l’escaille: c’est ainsi que par la force du premier vinaigre, la figure se penetre dedans l’escaille, non pas que totalement la plus grande partie penetre iusques au blanc de l’œuf, pour cause de la paucité du vinaigre. Secondement la fig[p.371]ure est transferée à la superficie du blanc de l’œuf: car tout ce qui est participant de l’acte, reçoit l’image de ce qui est par effect: & se transferée ceste image, si ne la corrompt. Les figures en effect sont par le feu en l’escaille: & le vinaigre est acre par effect: car comme il a esté monstré, il dissout l’escaille de l’œuf sans chaleur: le vinaigre donc porte l’image & figures des lettres au blanc de l’œuf, & efface celles qui sont en l’escaille, en sorte qu’elles ne sont veües. Quand donc tu auras osté l’œuf de l’escaille: ou que de rechief vn autre par imprudence aura cuit vn œuf, les lettres apparoîtront clairement en ôtant l’escaille, les images & caractères retenus par la vertu de l’alun.",,witnesses_flat
W53,1550,"Cardano, Girolamo",,"De Subtilitate, Book 18, Paris, 1550 pp.298-299",lat,"https://www.digitale-sammlungen.de/de/view/bsb10192261?page=648,649",De Subtilitate,Natural Magic / Secrets Literature,,Artesii liber de generibus divinationum. Modus inscribendi quae velis in ovo interius.,"Gallas cum alumine tritas aceto subige, inde inscribe hoc liquore...","Artesii liber de generibus divinationum. Modus inscribendi quae velis in ovo interius. Sunt & technæ non leves in hoc genere: [W51a] velut qui ovo inscribunt quaecumque velint intus, & cortex sit pervius & admittat colores. Gallas cum alumine tritas aceto subige, inde inscribe hoc liquore quod velis cortici: & siccatum impone muria: [W51b] vel cera obline ovum, & inscriptis litteris stylo ut cera dehisciat maneantque literae, in quibus humor imponatur, [W51ab] siccuo ovum coquitur donec durefiat: inde acri aceto infunde, sic enim literae sunt penetrabiles, quas cortice detracto videbis in ovo. Acetum enim mollit ovi corticem, ut in angustum urceum immitti possit, mox hoc experti, sed nigrior paulo evadit, aqua vero durescit.",\[Attributes it seems to Artesius?],witnesses_flat
W54,1554,"Cardano, Girolamo",,"Hieronymi Cardani De subtilitate : libri 21 ; nunc demum recogniti atque perfecti, Basileae : Lucius, 1554, book 18, pp.522-523",lat,"https://www.digitale-sammlungen.de/de/view/bsb10149764?page=552,553",De subtilitate,Natural Magic / Secrets Literature,,Fiunt & technæ non leues in hoc genere: velut qui ouo inscribunt...,"Gallas cum alumine tritas aceto subige, inde inscribe hoc liquore quod velis cortici...","Fiunt & technæ non leues in hoc genere: [W52a] velut qui ouo inscribunt quaecumque velint intus, quod cortex sit pervius, & admittat colores. Gallas cum alumine tritas aceto subige, inde inscribe hoc liquore quod velis cortici, & siccatum impone muriæ: [W52b] vel cera obline ouum, & inscriptis literis stylo ut cera dehiscat maneantque literæ, in quibus humor imponatur: [W52ab] siccum ouum coquitur donec durefiat: inde acri aceto infunde, sic enim literæ sunt penetrabiles, quas cortice detracto videbis in ouo. Acetum enim mollit ovi corticem, ut in angustum urceum immitti possit, aqua verò durescit. Horum duorum nostrorum experimentorum rationem subiecero, rem primo tractatione ipsa dignam fecero, viamque ad alia experimenta huius generis inuenieda patefaciam. Quod enim cortex aceti vi mollescat, id contingit quia poros, ut Graeci dicunt, habet: sudat enim, igitur combibit illud. Acetum autem tenue est substantiae, igitur penetrat in illius substantiam. Cum verò ovi cortex à frigido sit concretus, & tenerae substantiae, ab humido dissoluetur. At aqua ob immodicam frigiditatem exprimit quod tenue est humidum in substantia contentum, reliquum congelat: igitur cortex ovi qui aceto mollis euaserat, in aqua durescit. Cum igitur gallas & alumem aceto subegeris, acetum vim utriusque recipit, quapropter scriptis literis acetum per meatus corticis pene[523]trat intus. In albo autem ovi galla colorem subcroceum relinquit. Sed alumen prohibet ne ab igne patiatur: color igitur adhaerebit vehementius, vel si in muria siccetur: constans enim literarum forma fiet. Inde in acri aceto infunditur, vel ut quod muria conditum est, transferat e cortice magis ad ovi candidum: vel si decoctum fuit in igne, reliquias in cortice manentes intus trahat: siquidem aceti primi usus sit ut in corticem figura penetrat, non ut omnino maior pars usque ad ovi candidum, propter aceti paucitatem. Secundo autem transfertur figura ad albi ovi superficiem: omne enim quod actus est particeps, imaginem recipit eius quod actu est, & eam transfert, si non corrumpat. Figurae actu sunt iam per ignem in cortice, & acetum actu est acre: dissoluit enim, ut demonstratum est, ovi corticem absque calore: deserit igitur acetum literarum imaginem, & eas quae in cortice sunt obliterat ut non videantur. Ubi igitur corticem detraxeris, vel denuò imprudenter alius ouum coxerit, propter vim aluminis retentis imaginibus, literae detracto cortice conspicuae apparebunt.",,witnesses_flat
